Date,Open,High,Low,Actual,Adj Close,Volume,Predicted,Price Diff,MACD,Signal,RSI
2020-02-26,71.63,74.47,71.62,73.16,71.18,198054800,73.02629636,0.849728760000005,-0.5034271710550797,0.6717845570902552,36.61184517600503
2020-02-27,70.28,71.5,68.24,68.38,66.52,320605600,68.47196596,-4.554330399999998,-1.177500538260773,0.3019275380200495,28.639057989037127
2020-02-28,64.32,69.6,64.09,68.34,66.48,426510000,67.93908229,-0.5328836700000039,-1.695392771390459,-0.09753652386205225,28.582964480846087
2020-03-02,70.57,75.36,69.43,74.7,72.67,341397200,74.03921723,6.100134940000004,-1.5744776518038606,-0.3929247494504139,46.51927046560646
2020-03-03,75.92,76.0,71.45,72.33,70.37,319475600,72.24309722,-1.7961200100000099,-1.6508606475487824,-0.6445119290700876,42.25998776864649
2020-03-04,74.11,75.85,73.28,75.68,73.63,219178400,75.38760784,3.1445106200000055,-1.4246551809951171,-0.8005405794550935,49.32308070665267
2020-03-05,73.88,74.89,72.85,73.23,71.24,187572800,73.2524165,-2.1351913400000058,-1.4266348846240646,-0.9257594404888878,44.98869636445928
2020-03-06,70.5,72.71,70.31,72.26,70.3,226176800,72.28594424,-0.9664722599999891,-1.4893069044515954,-1.0384689332814294,43.363910987823736
2020-03-09,65.94,69.52,65.75,66.54,64.74,286744800,66.65293416,-5.633010080000005,-1.9777330521289826,-1.2263217570509402,35.273810012826715
2020-03-10,69.29,71.61,67.34,71.33,69.4,285290000,71.18100546,4.5280712999999935,-1.9557565803420118,-1.3722087217091545,44.59550092598038
2020-03-11,69.35,70.31,67.96,68.86,66.99,255598800,68.94392388,-2.2370815799999946,-2.1132877596503192,-1.5204245292973877,41.29304037189612
2020-03-12,63.99,67.5,62.0,62.06,60.37,418474000,62.13593465,-6.807989229999997,-2.7550767148388644,-1.7673549664056831,33.85910600775681
2020-03-13,66.22,69.98,63.24,69.49,67.61,370732000,68.94301257,6.8070779199999905,-2.6337993809855647,-1.9406438493216593,45.4210667191406
2020-03-16,60.49,64.77,60.0,60.55,58.91,322423600,60.5337045,-8.409308069999994,-3.221929112228878,-2.196900901903103,37.03265613603592
2020-03-17,61.88,64.4,59.6,63.22,61.5,324056000,62.98884855,2.4551440500000012,-3.4330059203285685,-2.4441219055881964,40.56315843948356
2020-03-18,59.94,62.5,59.28,61.67,59.99,300233600,61.52011104,-1.4687375099999969,-3.6829036369841504,-2.6918782518673874,39.18944741008665
2020-03-19,61.85,63.21,60.65,61.19,59.53,271857200,61.23486712,-0.2852439200000063,-3.875012632802779,-2.9285051280544656,38.75177472769189
2020-03-20,61.79,62.96,57.0,57.31,55.75,401693200,57.352639,-3.8822281199999935,-4.290881360207095,-3.2009803744849914,35.31814573905116
2020-03-23,57.02,57.12,53.15,56.09,54.57,336752800,56.14059619,-1.212042810000007,-4.6651274416753665,-3.493809787923067,34.28933929585813
2020-03-24,59.09,61.92,58.58,61.72,60.04,287531200,61.40381617,5.263219980000002,-4.456059528960466,-3.6862597361305474,42.599086844880986
2020-03-25,62.69,64.56,61.08,61.38,59.71,303602000,61.26480758,-0.139008589999996,-4.268601084195687,-3.8027280057435755,42.2515904818796
2020-03-26,61.63,64.67,61.59,64.61,62.86,252087200,64.24001933,2.9752117499999926,-3.8154230880501103,-3.805267022204883,46.69981764104453
2020-03-27,63.19,63.97,61.76,61.94,60.25,204216800,62.01348851,-2.2265308199999936,-3.6298799504653942,-3.7701896078569854,43.70305627182639
2020-03-30,62.69,63.88,62.35,63.7,61.97,167976400,63.7444773,1.7309887899999978,-3.3027463816971334,-3.6767009626250156,46.1558530531166
2020-03-31,63.9,65.62,63.0,63.57,61.85,197002000,63.63392407,-0.11055323000000072,-3.0191773875716095,-3.5451962476143346,45.99644275904344
2020-04-01,61.62,62.18,59.78,60.23,58.59,176218400,60.48324853,-3.1506755400000017,-3.0290401142530783,-3.441965020942084,41.984401881038835
2020-04-02,60.08,61.29,59.22,61.23,59.57,165934000,61.29355535,0.810306820000001,-2.922476266333966,-3.3380672700204603,43.571407760991896
2020-04-03,60.7,61.42,59.74,60.35,58.71,129880000,60.49752083,-0.7960345199999992,-2.875880929459065,-3.2456300019081814,42.4704071949201
2020-04-06,62.72,65.78,62.35,65.62,63.84,201820400,65.30876081,4.811239979999996,-2.386202179150132,-3.073744437356572,50.53203305532084
2020-04-07,67.7,67.93,64.75,64.86,63.1,202887200,64.86673714,-0.44202366999999754,-2.035984330000396,-2.8661924158853367,49.45572747104458
2020-04-08,65.68,66.84,65.31,66.52,64.71,168895200,66.47599027,1.609253129999999,-1.6059733732021684,-2.614148607348703,51.86723600217427
2020-04-09,67.18,67.52,66.18,67.0,65.18,161834800,67.08688793,0.6108976600000062,-1.2124779127682075,-2.333814468432604,52.57188134007363
2020-04-13,67.08,68.43,66.46,68.31,66.46,131022800,68.32848321,1.2415952799999985,-0.7858649119977912,-2.024224557145642,54.52840330272969
2020-04-14,70.0,72.06,69.51,71.76,69.81,194994800,71.65536595,3.326882740000002,-0.16745455627172134,-1.6528705569708577,59.2912743153854
2020-04-15,70.6,71.58,70.16,71.11,69.18,131154400,71.21066648,-0.4446994700000033,0.2671114438700357,-1.2688741568026791,58.05741608080292
2020-04-16,71.85,72.05,70.59,71.67,69.73,157125200,71.82580411,0.6151376300000067,0.6492117409170532,-0.8852569772587328,58.85189732304709
2020-04-17,71.17,71.74,69.21,70.7,68.78,215250000,70.87712401,-0.9486801000000042,0.8638007287354696,-0.5354454360598923,56.843374780251324
2020-04-20,69.49,70.42,69.21,69.23,67.35,130015200,69.47582799,-1.4012960200000038,0.9048171638782776,-0.24739291607225833,53.84430676230702
2020-04-21,69.07,69.31,66.36,67.09,65.27,180991600,67.32530297,-2.1505250200000035,0.7559289901140573,-0.0467285348349952,49.73079288314101
2020-04-22,68.4,69.47,68.05,69.03,67.15,116862400,69.10912661,1.7838236400000085,0.7854219708957686,0.11970156631115758,53.21984512605416
2020-04-23,68.97,70.44,68.72,68.76,66.89,124814400,68.80281066,-0.30631594999999834,0.778039867851291,0.25136922661918426,52.671907403369254
2020-04-24,69.3,70.75,69.25,70.74,68.82,126161200,70.64749028,1.8446796199999937,0.921338335632953,0.385363048421938,56.23078052789113
2020-04-27,70.45,71.14,69.99,70.79,68.87,117087600,70.77504792,0.12755764000000624,1.0270982367652124,0.513710086090593,56.32010379480919
2020-04-28,71.27,71.46,69.55,69.64,67.75,112004800,69.75160558,-1.0234423400000026,1.0065158432162349,0.6122712375157213,53.610188891118106
2020-04-29,71.18,72.42,70.97,71.93,69.98,137280800,71.92314235,2.171536770000003,1.1615978329631673,0.7221365566052105,57.94918218377138
2020-04-30,72.49,73.63,72.09,73.45,71.46,183064000,73.45417088,1.5310285300000004,1.3911167954946535,0.8559326043830991,60.58446135543574
2020-05-01,71.56,74.75,71.46,72.27,70.31,240616800,72.21946411,-1.2347067700000025,1.4609551075008653,0.9769371050066524,57.56827281521274
2020-05-04,72.29,73.42,71.58,73.29,71.3,133568000,73.29260939,1.0731452799999914,1.5803901940299312,1.0976277228113083,59.44765892742912
2020-05-05,73.76,75.25,73.61,74.39,72.37,147751200,74.42264791,1.1300385199999994,1.7437038351107788,1.2268429452712024,61.4316232621529
2020-05-06,75.11,75.81,74.72,75.16,73.12,142333600,75.25532617,0.8326782600000087,1.9132093506571977,1.3641162263484015,62.80346233953898
2020-05-07,75.81,76.29,75.49,75.93,73.87,115215200,76.01897926,0.7636530899999912,2.085634363114835,1.5084198537016884,64.175714824254
2020-05-08,76.41,77.59,76.07,77.53,75.63,133838400,77.55493842,1.5359591600000044,2.3245925995062606,1.671654402862603,66.90766550894173
2020-05-11,77.03,79.26,76.81,78.75,76.82,145946400,78.69689544,1.1419570200000067,2.5826414445479173,1.853851811199666,68.85781935156163
2020-05-12,79.46,79.92,77.73,77.85,75.94,162301200,78.02363263,-0.6732628100000113,2.683589782463187,2.0197994054523702,65.77824216891915
2020-05-13,78.04,78.99,75.8,76.91,75.03,200622400,77.05173035,-0.9719022799999948,2.657112385873006,2.1472620015364976,62.6277758275708
2020-05-14,76.13,77.45,75.38,77.39,75.49,158929200,77.47501413,0.42328378000000555,2.644378102095814,2.246685221648361,63.586842904411256
2020-05-15,75.09,76.97,75.05,76.93,75.04,166348400,76.98355273,-0.4914614000000057,2.5675705794544825,2.3108622932095852,61.946192930749184
2020-05-18,78.29,79.12,77.58,78.74,76.81,135178400,78.79080099,1.8072482599999944,2.622521146280164,2.3731940638237012,65.69670009949819
2020-05-19,78.76,79.63,78.25,78.29,76.37,101729600,78.37630496,-0.41449602999999513,2.599789867909635,2.418513224640888,64.0076505255039
2020-05-20,79.17,79.88,79.13,79.81,77.85,111504800,79.86548669,1.4891817299999985,2.673606788070515,2.4695319373268134,67.08585312720808
2020-05-21,79.67,80.22,78.97,79.21,77.27,102688800,79.31822622,-0.5472604699999977,2.6531088561387577,2.5062473210892025,64.73242350014269
2020-05-22,78.94,79.81,78.84,79.72,77.77,81803200,79.80023686,0.4820106399999986,2.6474981247832403,2.5344974818280104,65.82971613733449
2020-05-26,80.88,81.06,79.12,79.18,77.24,125522000,79.34146042,-0.45877643999999407,2.5698544107607404,2.5415688676145565,63.57424975228099
2020-05-27,79.04,79.68,78.27,79.53,77.58,112945200,79.62742518,0.2859647599999988,2.507656578854082,2.5347864098624617,64.42503093445237
2020-05-28,79.19,80.86,78.91,79.56,77.61,133560800,79.60070004,-0.026725139999996372,2.432741963213772,2.5143775205327237,64.50156529659616
2020-05-29,79.81,80.29,79.12,79.49,77.54,153532400,79.62457519,0.02387514999999496,2.340740575310818,2.479650131488343,64.15474684085466
2020-06-01,79.44,80.59,79.3,80.46,78.49,80791200,80.4591586,0.8345834099999934,2.3193635269502693,2.447592810580728,66.81732132227663
2020-06-02,80.19,80.86,79.73,80.83,78.85,87642800,80.87327579,0.4141171899999989,2.3056993035686446,2.4192141091783115,67.79984439320151
2020-06-03,81.17,81.55,80.57,81.28,79.29,104491200,81.36897314,0.49569735000000037,2.3046153758073444,2.396294362504118,69.00199940329911
2020-06-04,81.1,81.4,80.19,80.58,78.6,87560400,80.70690938,-0.6620637599999952,2.2216622657287246,2.3613679431490393,64.94048288768613
2020-06-05,80.84,82.94,80.81,82.88,80.84,137250400,82.79654284,2.0896334600000017,2.3148282077955855,2.352059996078349,70.98387117628263
2020-06-08,82.56,83.4,81.83,83.36,81.32,95654400,83.37463956,0.5780967200000049,2.3997322569044286,2.361594448243565,72.06606432950224
2020-06-09,83.04,86.4,83.0,86.0,83.89,147712400,85.75231931,2.3776797499999986,2.649503437751477,2.4191762461451476,77.12037169386106
2020-06-10,86.97,88.69,86.52,88.21,86.05,166651600,88.12353392,2.3712146099999956,2.991295634281201,2.5336001237723584,80.3290608420626
2020-06-11,87.33,87.76,83.87,83.97,81.92,201662400,84.17034186,-3.9531920600000063,2.8867590858725123,2.6042319161923895,62.28222505848517
2020-06-12,86.18,86.95,83.56,84.7,82.62,200146000,84.83195368,0.6616118200000045,2.8301933104996237,2.6494241950538364,63.79054026278786
2020-06-15,83.31,86.42,83.14,85.75,83.65,138808800,85.66009247,0.828138789999997,2.837383163862768,2.687015988815623,65.90265602319356
2020-06-16,87.86,88.3,86.18,88.02,85.86,165428800,88.05651482,2.396422350000009,2.9917640100719183,2.747965593066882,69.97958879841457
2020-06-17,88.79,88.85,87.77,87.9,85.74,114406400,88.00122041,-0.0552944100000019,3.069050838183685,2.8121826420902427,69.5064612351041
2020-06-18,87.85,88.36,87.31,87.93,85.78,96820400,88.01575429,0.014533880000001886,3.0970214204571676,2.8691503977636277,69.56186631375728
2020-06-19,88.66,89.14,86.29,87.43,85.29,264476000,87.55312606,-0.4626282300000071,3.043755963030918,2.904071510817086,67.36497126251707
2020-06-22,87.83,89.86,87.79,89.72,87.52,135445200,89.65127824,2.0981521799999996,3.1500151520783817,2.9532602390693454,71.76342706098463
2020-06-23,91.0,93.1,90.57,91.63,89.39,212155600,91.56579614,1.914517900000007,3.349733717262822,3.032554934708041,74.81260052108753
2020-06-24,91.25,92.2,89.63,90.01,87.81,192623200,90.11341999,-1.4523761500000063,3.338804003749047,3.0938047485162423,68.09587950800736
2020-06-25,90.18,91.25,89.39,91.21,88.97,137522400,91.22306935,1.109649360000006,3.38791828514141,3.1526274558412757,70.2281362492595
2020-06-26,91.1,91.33,88.25,88.41,86.24,205256800,88.62846283,-2.5946065199999993,3.164427556487098,3.15498747597044,60.12991706741193
2020-06-29,88.31,90.54,87.82,90.44,88.23,130646000,90.35264185,1.724179019999994,3.1152034521968233,3.1470306712157172,64.15425090489241
2020-06-30,90.02,91.5,90.0,91.2,88.96,140223200,91.18565131,0.8330094599999995,3.101763445106755,3.137977225993925,65.55597641436691
2020-07-01,91.28,91.84,90.98,91.03,88.8,110737200,91.13714657,-0.04850473999999849,3.042324539892533,3.118846688773647,64.9442098097093
2020-07-02,91.96,92.62,90.91,91.03,88.8,114041600,91.09355454,-0.04359202999999923,2.961085231933879,3.0872943974056937,64.9442098097093
2020-07-06,92.5,93.94,92.47,93.46,91.17,118655600,93.41608354,2.322529000000003,3.057537794280435,3.0813430767806422,69.64087352930414
2020-07-07,93.85,94.65,93.06,93.17,90.89,112424400,93.22450831,-0.191575229999998,3.075128402451881,3.0801001419148903,68.46203074431537
2020-07-08,94.18,95.38,94.09,95.34,93.01,117092000,95.30695114,2.082442829999991,3.2269714327576935,3.1094744000834513,72.24765714189289
2020-07-09,96.26,96.32,94.67,95.75,93.41,125642800,95.81469897,0.5077478299999996,3.3418687193761087,3.155953263941983,72.90931402424246
2020-07-10,95.33,95.98,94.71,95.92,93.57,90257200,95.99650191,0.1818029400000114,3.407365240579992,3.206235659269585,73.19468112827056
2020-07-13,97.26,99.96,95.26,95.48,93.14,191649200,95.44977496,-0.5467269500000072,3.3847500906334034,3.241938545542349,71.10690410011006
2020-07-14,94.84,97.25,93.88,97.06,94.68,170989200,96.93040125,1.4806262900000036,3.454498903744934,3.284450617182866,73.97732523644189
2020-07-15,98.99,99.25,96.49,97.72,95.33,153198000,97.78265486,0.8522536099999911,3.522427473519002,3.3320459884500933,75.09056067836023
2020-07-16,96.56,97.4,95.9,96.52,94.16,110577600,96.61967758,-1.1629772799999927,3.439779743586783,3.3535927394774316,69.28682351833072
2020-07-17,96.99,97.15,95.84,96.33,93.97,92186800,96.47522829,-0.14444928999999718,3.3206707843112753,3.3470083484442004,68.38557629811058
2020-07-20,96.42,98.5,96.06,98.36,95.95,90318000,98.24993235,1.7747040599999906,3.3514467189608155,3.3478960225475234,72.50118755218733
